21 16 4249 5075 274	6 4249 3409 5 6 3409 274 231 1 733 2 6 4249	 1	1
21 16 4249 5075 274	6 3194 7235 4249 3409 19 18212 11565 12675	 0	1
21 16 4249 5075 274	14 733 12676 5 513 32 10 1030 171	 0	1
21 16 4249 5075 274	11859 9979 4 1 18213 4249 3409	 0	1
21 16 4249 5075 274	12675 5075 16 109 99 733 5075 75 97 149 5 7906 51 9 2372 18214 5075 33 1422 65 734 733	 0	1
21 113 5 7 2402 2 104	128 2402 41 6 1000 2 124 7 28 5636	 1	3
21 113 5 7 2402 2 104	48 1 946 57 2402 3133 471 5 513 7 28 5636 1 1000 2 35 2617 2402 12677 18215 2924 26 31 5636 9 7 34 5636	 1	3
21 113 5 7 2402 2 104	48 646 57 2402 3133 471 5 11 10 5636	 1	3
21 113 5 7 2402 2 104	9083 18216	 0	3
21 113 5 7 2402 2 104	48 1 196 3 510 2 299 6 2402 5 1 120 163 2 7236 51 17 3744 26 6 454	 0	3
21 113 5 7 2402 2 104	48 1 1446 262 3 55 1763 115 6 2402 5 6 163 2 197 7236 195 51 17 1109	 0	3
21 113 5 7 2402 2 104	48 115 36 6 2402 5 6 1109 7236 1 8086 2502 9 1 196 2402 5 468 1 12678 7236 27 1 9980 7236	 0	3
21 113 5 7 2402 2 104	6 18217 11579 1 1000 2 57 2402 5 250 51 15 6 1545 2 1541 4 6138	 0	3
21 113 5 7 2402 2 104	54 5 2170 15 662 12679 18218 18219 1242 18220 27 12679 18221	 0	3
21 113 5 7 2402 2 104	14 1000 2 5275 18222 5 67 4825 20 160 3 5 1290 9 4504 2078	 0	3
21 113 16 1 738 722 1779 477	14 107 49 3367 113 7237 4 5076 384 1 568 1410 1268 477 4 3278 2 166 7 28 574	 1	1
21 113 16 1 738 722 1779 477	568 1410 5 6 107 2 483 2830 2257 280 20 1 251 999 1107 895 1097	 0	1
21 113 16 1 738 722 1779 477	14 314 12487 1 4864 2 6 5637 568 1410 3 44 2634 3750 12680 3 12681 12682 79 2 1647 16 735 39 3444 1911 2 12683 3 12684	 0	1
21 113 16 1 738 722 1779 477	14 383 606 2833 3787 568 18 12685 9 8335 1 3947 5637 1897 8245 995 9981 16 9 142 18223 6944 1 7160 61 18224 263 8336 87 3 6215 79 254 23 893 4 44 674 506 568 1410	 0	1
21 113 16 1 738 722 1779 477	571 1 438 2 1 47 751 568 1410 3 1 5594 18 1860 19 30 10 308 7 13 13 31 1 314 45 991 12624 1906 1936 6942 3 1477 758 364	 0	1
21 113 16 1 738 722 1779 477	14 107 41 49 92 98 2087 2 4623 111 5846 17 1 3076 1092 8337	 0	1
21 113 16 1 738 722 1779 477	1 394 107 41 315 124 34 28 10 117 1727 384 42 1 269 623 394 107 4 198 3 41 63 3382 72 32 31 305	 0	1
21 113 16 1 738 722 1779 477	14 288 126 314 18225 339 1282 15 1 6168 623 314 4 198	 0	1
21 113 16 1 738 722 1779 477	6 107 2 37 4793 111 2830 3 3316 2 429 22 899 2 5077 7900 12686 3 7011 42 41 37 1041 9982 3 6856	 0	1
21 113 16 1 738 722 1779 477	879 9 1097 1 383 3856 5 291	 0	1
21 113 16 1 738 722 1779 477	338 16 49 37 62 3274 4 1 107 69 15 18226 3 6050	 0	1
21 113 16 1 738 722 1779 477	14 2198 164 8850 2 1 314 52 18227 4 1 46 283 3 18228 8338 4 1 46 50	 0	1
21 113 16 1 738 722 1779 477	14 314 45 141 63 710 20 37 8850 364	 0	1
